                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    106,                 1.2643,                 1.0529,                 1.7187,                0.97132,                0.83722,                0.94819,                0.59989,                 1.3205,                0.76377,                 1.9607,             0.00067723,             0.00067723,             0.00067723
                    107,                 1.2138,                 1.0585,                 1.7264,                0.89744,                0.86994,                0.93458,                0.57652,                 1.3486,                0.85901,                 2.0145,             0.00066615,             0.00066615,             0.00066615
                    108,                 1.1573,                0.98036,                 1.6327,                0.88774,                0.86213,                0.94197,                0.57534,                 1.3676,                0.85871,                 2.0442,             0.00065508,             0.00065508,             0.00065508
                    109,                 1.1742,                 1.0001,                 1.6281,                0.87352,                0.82959,                0.91826,                0.58335,                 1.3689,                0.83989,                 2.0324,             0.00064402,             0.00064402,             0.00064402
                    110,                 1.1676,                 1.0055,                 1.6611,                0.87936,                0.82454,                0.91286,                0.54629,                 1.3675,                0.84664,                 2.0517,             0.00063299,             0.00063299,             0.00063299
                    111,                 1.1169,                  1.013,                 1.6497,                 0.9319,                0.87088,                0.92615,                0.58307,                 1.3541,                0.88279,                 1.9993,             0.00062198,             0.00062198,             0.00062198
                    112,                 1.1806,                 1.0153,                 1.6848,                0.94691,                0.88773,                0.93503,                0.60663,                  1.311,                0.79877,                 1.9657,             0.00061099,             0.00061099,             0.00061099
                    113,                 1.1664,                 1.0226,                 1.6733,                0.91648,                0.90241,                0.95773,                0.61314,                 1.3197,                 0.7595,                  1.986,             0.00060003,             0.00060003,             0.00060003
                    114,                 1.1015,                0.99147,                 1.6364,                0.93627,                0.87853,                0.95817,                0.61407,                 1.3414,                0.73306,                 1.9807,              0.0005891,              0.0005891,              0.0005891
                    115,                 1.1152,                0.93381,                 1.6125,                0.90467,                0.88738,                0.94919,                0.59646,                 1.3755,                0.78141,                 2.0213,              0.0005782,              0.0005782,              0.0005782
                    116,                 1.1157,                0.98271,                 1.6263,                0.91481,                0.84274,                0.93947,                0.57716,                 1.3779,                0.81142,                  2.019,             0.00056734,             0.00056734,             0.00056734
                    117,                  1.083,                 1.0738,                 1.5917,                0.87993,                0.84137,                0.93727,                0.59779,                 1.3408,                0.75315,                 2.0425,             0.00055652,             0.00055652,             0.00055652
                    118,                 1.0878,                0.92606,                 1.5857,                0.90103,                 0.8741,                0.94056,                0.61121,                 1.3066,                0.75935,                 1.9634,             0.00054573,             0.00054573,             0.00054573
                    119,                   1.15,                 0.9769,                 1.6739,                0.89896,                0.83207,                0.92775,                 0.5575,                 1.4205,                0.85248,                 2.1136,             0.00053499,             0.00053499,             0.00053499
                    120,                 1.1333,                0.92985,                 1.6651,                0.95792,                0.87325,                0.94769,                0.62264,                 1.2961,                  0.796,                 1.9158,              0.0005243,              0.0005243,              0.0005243
                    121,                 1.0743,                0.93145,                 1.5895,                0.86547,                 0.8781,                0.94102,                0.59859,                 1.3501,                0.76155,                 2.0016,             0.00051365,             0.00051365,             0.00051365
                    122,                  1.083,                0.90329,                 1.6158,                0.87435,                  0.837,                0.91813,                0.57786,                 1.3613,                0.81901,                 1.9972,             0.00050306,             0.00050306,             0.00050306
                    123,                  1.117,                0.93086,                 1.5984,                 0.8788,                0.80663,                0.90154,                0.58455,                 1.3225,                0.86915,                 2.0191,             0.00049252,             0.00049252,             0.00049252
                    124,                 1.1162,                 1.0032,                 1.6512,                0.90385,                0.92727,                0.95451,                0.63307,                 1.2883,                0.72787,                 1.9202,             0.00048204,             0.00048204,             0.00048204
                    125,                  1.053,                0.91491,                 1.5905,                0.90645,                0.79851,                0.90543,                 0.5582,                 1.3709,                 0.8878,                 2.0039,             0.00047161,             0.00047161,             0.00047161
                    126,                 1.1169,                0.95187,                 1.6171,                0.92952,                 0.8558,                0.95428,                0.59839,                 1.3297,                0.74265,                 2.0088,             0.00046125,             0.00046125,             0.00046125
                    127,                 1.0654,                0.91901,                 1.5885,                0.91782,                0.85929,                0.94424,                0.59236,                 1.3713,                 0.7654,                 2.0585,             0.00045095,             0.00045095,             0.00045095
                    128,                  1.074,                0.88567,                 1.5822,                0.92782,                0.85212,                0.95244,                0.61426,                 1.3235,                0.76667,                 1.9332,             0.00044072,             0.00044072,             0.00044072
                    129,                 1.0397,                0.87865,                 1.5372,                0.89246,                0.87771,                0.94067,                0.60253,                  1.337,                0.71823,                 2.0183,             0.00043056,             0.00043056,             0.00043056
                    130,                 1.0474,                0.89176,                 1.5785,                0.91796,                0.90736,                0.95671,                0.59141,                 1.3567,                0.70984,                 2.0513,             0.00042047,             0.00042047,             0.00042047
                    131,                 1.0158,                0.83268,                 1.5536,                0.89025,                0.92543,                 0.9617,                0.60441,                 1.3452,                0.68276,                 2.0284,             0.00041045,             0.00041045,             0.00041045
                    132,                 1.0385,                0.86195,                 1.5682,                0.89568,                0.91869,                0.95635,                0.61292,                 1.3369,                0.72409,                 2.0458,             0.00040051,             0.00040051,             0.00040051
                    133,                 1.0197,                0.82394,                 1.5181,                0.89056,                0.87941,                0.93935,                0.59062,                 1.3484,                0.72497,                 2.0362,             0.00039065,             0.00039065,             0.00039065
                    134,                 1.0392,                0.82453,                 1.5536,                0.90663,                0.90047,                0.95695,                0.62115,                 1.3215,                0.70972,                 1.9972,             0.00038087,             0.00038087,             0.00038087
                    135,                 1.0453,                0.85746,                 1.5875,                 0.8815,                0.92291,                0.94546,                0.60256,                 1.3313,                0.72935,                 2.0451,             0.00037118,             0.00037118,             0.00037118
                    136,                 0.9811,                0.85076,                 1.4907,                0.87858,                0.90612,                0.96117,                0.60686,                 1.3596,                0.70004,                 2.0903,             0.00036157,             0.00036157,             0.00036157
                    137,                0.95996,                0.78103,                 1.4941,                0.90634,                0.85971,                0.94676,                0.62211,                 1.2843,                0.69919,                 1.9949,             0.00035205,             0.00035205,             0.00035205
                    138,                0.98336,                0.79516,                 1.5271,                0.93486,                0.88626,                 0.9569,                0.62379,                 1.2609,                0.66206,                 1.9474,             0.00034263,             0.00034263,             0.00034263
                    139,                0.98912,                0.81828,                 1.5091,                0.87039,                0.90759,                0.95159,                0.61469,                 1.3141,                0.71496,                 1.9899,             0.00033329,             0.00033329,             0.00033329
                    140,                0.98893,                0.85974,                 1.4929,                0.88458,                0.90551,                0.95489,                0.62296,                 1.2964,                0.70014,                 1.9941,             0.00032405,             0.00032405,             0.00032405
                    141,                0.97617,                0.80283,                 1.5033,                0.94691,                0.93317,                0.96287,                0.61765,                 1.2989,                0.68831,                 1.9997,             0.00031491,             0.00031491,             0.00031491
